"title"|"fix_title"|"author"|"id"|"category"
Seni Hidup Bersahaja|Seni Hidup Bersahaja|Shunmuo Masuni|81|Lifestyle
Seni Hidup Minimalis|Seni Hidup Minimalis|Francine Jay|82|Lifestyle
Show Your Work - Tunjukkan Karyamu!|Show Your Work - Tunjukkan Karyamu!|Austin Kleon|83|Self-Improvement
Startup Mindset|Startup Mindset|Nur Agustinus|84|Self-Improvement
Sukses Memimpin|Sukses Memimpin|Dale Carnegie|85|Self-Improvement
Tak Masalah Menjadi Orang yang Berbeda|Tak Masalah Menjadi Orang yang Berbeda|Kim Doo Eung|86|Self-Improvement
The 5 AM Club|The 5 AM Club|Robin Sharma|87|Self-Improvement
The Master Key System|The Master Key System|Charles F. Haanel|90|Self-Improvement
The Montessori Toddler Indonesian Edition|The Montessori Toddler|Simone Davies|91|Lifestyle
"16-05-2021-070111The-Richest-Man-in-Babylon"|The Richest Man in Babylon|George S. Classon|106|Business
"453) Pernikahan wanita hamil akibat zina"|Pernikahan wanita hamil akibat zina|Dr. Ahmad Nizam and Dr Nurfitria|102|Religion
Think and Grow Rich|Think and Grow Rich|Napoleon Hill|96|Business
Think Like a Freak - Berpikir Tidak Biasa Untuk HAsil yang Luar Biasa|Think Like a Freak|Steven D. Levitt|97|Self-Improvement
Yes to Life! Katakan Ya Pada Kehidupan Apapun yang Terjadi|Katakan Ya Pada Kehidupan Apapun yang Terjadi|Viktor E. Frank|101|Self-Improvement
"25-Permasalahan-Seputar-Pernikahan"|"25 Permasalahan Seputar Pernikahan"|Pustaka Sunnah|111|Religion
"220 Ketika Aku Tak Tahu Apa Yang Aku Inginkan Jeon Seunghwan"|Ketika Aku Tak Tahu Apa Yang Aku Inginkan|Jeon Seunghwan|109|Self-Improvement
Retorika (Seni Berbicara)|Retorika (Seni Berbicara)|Unknown Author|113|Communication
The Tipping Point|The Tipping Point|Malcolm Gladwell|95|Self-Improvement
Master Your Emotions A b.indonesia|Master Your Emotions|Thibaut Meurisse|108|Psychology
An Honest Thief - Fyodor Dostoyevsky|An Honest Thief|Fyodor Dostoyevsky|121|Fiction
Awalil Rizky, Nasyith Majidi Utang Pemerintah Mencekik Rakyat E|Utang Pemerintah Mencekik Rakyat|Awalil Rizky, Nasyith Majidi|130|Self-Improvement
Ayah (Andrea Hirata) (1)|Ayah|lib.org) (1)|131|Fiction
People Pleaser - Seni Bersikap Bodo Amat|People Pleaser - Seni Bersikap Bodo Amat|Kelly Personality|73|Self-Improvement
Babad Majapahit|Babad Majapahit|Kadir Trisna Sujana|132|History
Animal Farm|Animal Farm|George Orwell|125|Fiction
Bandung Menjelang Pagi by Brian Khrisna|Bandung Menjelang Pagi|Brian Khrisna|135|Self-Improvement
Bartending & Mixology|Bartending & Mixology|Unknown Author|136|Lifestyle
Beberapa Wasiat Salaf Untuk Para Pemuda|"10 Wasiat Salaf Untuk Pemuda dan Kiat Menjadi Muslim Produktif"|Prof Dr. Abdurrazaq|137|Religion
Algoritma Pemrograman Pende|Algoritma Pemrograman Pendekatan Kompresif|Mulawarmanm Harry S, Tata S, Ita A, Arnes Y.V|119|Technology
The Power of Gratitude - Kekuatan Syukur Dalam Menurunkan Stres Kerja|The Power of Gratitude|Eko Wahyu Cahyono|92|Self-Improvement
Berdamai Dengan Kenyataan Hidup|Berdamai Dengan Kenyataan Hidup|Dewi Indra|142|Self-Improvement
Berdamai Dengan Quarter Life Crisis|Berdamai Dengan Quarter Life Crisis|Jewellius Kistom|143|Self-Improvement
BERPIKIR DAN BERJIWA BESAR|Berpikir dan Berjiwa Besar|David J.Schwartz|144|Self-Improvement
Bicara itu ada seninya|Bicara itu ada seninya|Oh Su Hyang|145|Communication
Boleh Dong Salah|Boleh Dong Salah|Irfan Amalee|146|Self-Improvement
Catatan dr bawah tanah|Catatan Dari Bawah Tanah|Fyodor Dostoyevsky|151|Self-Improvement
Change Your Aura Change You|Change Your Aura Change Your Life|Barbara Y.Martin|152|Psychology
